policy_id,customer_id,policy_type,policy_start_date,policy_end_date,premium_amount,coverage_amount
P1001,C001,Auto,2022-01-01,2023-01-01,1200.00,25000
P1002,C002,Home,2021-06-15,2022-06-15,950.00,150000
P1003,C003,Life,2020-09-01,2025-09-01,600.00,100000
P1004,C004,Auto,2022-03-20,2023-03-20,1100.00,30000
P1005,C005,Home,2021-11-10,2022-11-10,980.00,200000
P1006,C999,Travel,2022-02-01,2022-03-01,150.00,5000
P1007,C007,Pet,2021-08-01,2022-08-01,-300.00,10000
P1008,C008,Auto,2022-04-15,2023-04-15,890.00,twenty thousand
P1009,C009,Life,2020-01-01,2025-01-01,750.00,120000
P1010,C010,Home,2022-06-01,2021-06-01,1150.00,180000
P1011,C011,Auto,2023-01-01,2024-01-01,1250.00,27000
P1012,C012,Life,2022-05-01,2027-05-01,700.00,100000
P1013,C013,Home,2021-07-01,2022-07-01,930.00,160000
P1014,C014,Travel,2022-10-01,2022-11-01,200.00,8000
P1015,C015,Business,2022-11-01,2023-11-01,1500.00,300000
P1016,C016,Auto,2022-01-01,2023-01-01,1100.00,25000
P1017,C017,Home,2021-06-15,2022-06-15,950.00,150000
P1018,C018,Life,2020-09-01,2025-09-01,600.00,100000
P1019,C019,Auto,2022-03-20,2023-03-20,1100.00,30000
P1020,C020,Home,2021-11-10,2022-11-10,980.00,200000
P1021,C001,Travel,2022-02-01,2022-03-01,150.00,5000
P1022,C002,Pet,2021-08-01,2022-08-01,300.00,10000
P1023,C003,Auto,2022-04-15,2023-04-15,890.00,20000
P1024,C004,Life,2020-01-01,2025-01-01,750.00,120000
P1025,C005,Home,2022-06-01,2023-06-01,1150.00,180000
P1026,C006,Auto,2023-01-01,2024-01-01,1250.00,27000
P1027,C007,Life,2022-05-01,2027-05-01,700.00,100000
P1028,C008,Home,2021-07-01,2022-07-01,930.00,160000
P1029,C009,Travel,2022-10-01,2022-11-01,200.00,8000
P1030,C010,Business,2022-11-01,2023-11-01,1500.00,300000
